cause_of_death,category_human
actinomycosis unspecified,none
other neonatal peritonitis,none
abscess of salivary gland,none
malignant neoplasm spleen,none
other congenital malformations of anterior segment of eye,none
intracerebral haemorrhage unspecified,cerebrovascular disease
persistent fetal circulation,none
opioids and related analgesics,none
during kidney dialysis or other perfusion,none
total anomalous pulmonary venous connection,none
accident on board watercraft without accident to watercraft not causing drowning and submersion passenger ship,none
incomplete uterovaginal prolapse,none
hydrops of gallbladder,none
drug-induced thyroiditis,none
other specified myopathies,none
unstable angina,ischaemic heart disease
mastocytosis,none
obstruction of gallbladder,none
tuberous sclerosis,none
malignant neoplasm peripheral nerves of upper limb including shoulder,none
localized swelling mass and lump neck,none
diabetes mellitus in pregnancy unspecified,none
disorders of magnesium metabolism,none
accident on board watercraft without accident to watercraft not causing drowning and submersion other unpowered watercraft,none
car occupant [any] injured in other specified transport accidents,none
rectal abscess,none
sequelae of assault,none
other and unspecified right bundle-branch block,none
pneumonia due to klebsiella pneumoniae,none
car occupant injured in collision with railway train or railway vehicle passenger injured in traffic accident,none
chronic leukaemia of unspecified cell type,none
other congenital malformations of bladder and urethra,none
trisomy 21 mosaicism mitotic nondisjunction,none
locked-in syndrome from 2016,none
other acute osteomyelitis,none
vascular parkinsonism,none
nontoxic goitre unspecified,none
anaplastic large cell lymphoma alk-positive,none
other specified disorders of nose and nasal sinuses,none
disorders of hypoglossal nerve,none
plasma substitutes,none
spastic hemiplegic cerebral palsy,none
female pelvic inflammatory disease unspecified,none
aneurysm and dissection of other specified arteries,none
crohn disease of large intestine,none
aneurysm and dissection of carotid artery,none
vesicointestinal fistula,none
papovavirus infection unspecified site,none
acute nephritic syndrome minor glomerular abnormality,none
salicylates,none
sequelae of stroke not specified as haemorrhage or infarction,cerebrovascular disease
venous insufficiency chronicperipheral,none
fetal hydantoin syndrome,none
malignant neoplasm ileum,none
malignant neoplasm scapula and long bones of upper limb,none
unilateral or unspecified femoral hernia without obstruction or gangrene,none
malignant neoplasm of other and ill-defined sites other ill-defined sites,none
other nonrheumatic mitral valve disorders,none
anaemia complicating pregnancy childbirth and the puerperium,none
central pontine myelinolysis,none
mild cognitive disorder,none
other specified types of non-hodgkin lymphoma,none
muscle strain,none
malignant neoplasm vestibule of mouth,oral cavity cancer
tuberculosis of lung without mention of bacteriological or histological confirmation,none
car occupant injured in collision with car pick-up truck or van passenger injured in traffic accident,none
bacterial intestinal infection unspecified,none
felty syndrome,none
other ulcerative colitis,none
chronic hepatic failure,none
unspecified nephritic syndrome diffuse endocapillary proliferative glomerulonephritis,none
pedestrian injured in collision with pedal cycle nontraffic accident,none
carcinoma in situ lip oral cavity and pharynx,oral cavity cancer
embolism and thrombosis of renal vein,none
disease of oesophagus unspecified,none
conduct disorder unspecified,none
other specified disorders of urinary system,none
other chronic viral hepatitis,none
keratitis unspecified,none
benign neoplasm adrenal gland,none
bus occupant injured in collision with fixed or stationary object passenger injured in traffic accident,none
pregnancy-related condition unspecified,none
drug-induced dystonia,none
pericardial effusion noninflammatory,none
malignant neoplasm overlapping lesion of brain and other parts of central nervous system,none
malignant neoplasm jejunum,none
car occupant injured in collision with car pick-up truck or van passenger injured in nontraffic accident,none
aneurysm of heart,ischaemic heart disease
malignant neoplasm lacrimal gland and duct,none
defects of catalase and peroxidase,none
malignant neoplasm breast unspecified,none
acute laryngitis,none
neoplasm of uncertain or unknown behaviour spinal meninges,none
hallervorden-spatz disease,none
perianal venous thrombosis from 2014 onwards - previously in i84,none
pedal cyclist injured in collision with heavy transport vehicle or bus passenger injured in traffic accident,none
other fibroblastic disorders,none
congenital renal failure,none
degenerative disease of basal ganglia unspecified,none
traumatic arthropathy,none
hypertrophy of salivary gland,none
chronic ethmoidal sinusitis,none
osteopetrosis,none
other hereditary and idiopathic neuropathies,none
asperger syndrome,none
bulimia nervosa,none
acute promyelocytic leukaemia [pml],acute myeloid leukemia
other pulmonary aspergillosis,none
multifocal and multisystemic disseminated langerhans-cell histiocytosis [letterer-siwe disease],none
other specified immunodeficiencies,none
perforation of intestine nontraumatic,none
other hyperaldosteronism,none
other chondrocalcinosis,none
intracranial space-occupying lesion,none
haemorrhoids unspecified from 2014 onwards - previously in i84,none
other specified disorders of carbohydrate metabolism,none
aortic aneurysm of unspecified site ruptured,none
neoplasm of uncertain or unknown behaviour adrenal gland,none
myasthenia gravis,none
neoplasm of uncertain or unknown behaviour testis,none
malignant neoplasm larynx unspecified,larynx cancer
motorcycle rider injured in noncollision transport accident person injured while boarding or alighting,none
abscess of spleen,none
other specified sepsis,none
mixed hyperlipidaemia,none
calculus of bile duct with cholecystitis,none
diseases of the digestive system complicating pregnancy childbirth and the puerperium,none
panlobular emphysema,pulmonary disease
acute periodontitis,none
car occupant injured in collision with car pick-up truck or van unspecified car occupant injured in traffic accident,none
other symptoms and signs involving appearance and behaviour,none
atrioventricular block complete,none
syphilis unspecified,none
anencephaly,none
other specified pulmonary heart diseases,none
occupant of three-wheeled motor vehicle injured in collision with heavy transport vehicle or bus person injured while boarding or alighting,none
follicular lymphoma grade i,none
pedal cyclist injured in collision with car pick-up truck or van passenger injured in traffic accident,none
malignant neoplasm ribs sternum and clavicle,none
obstruction of duodenum,none
hyperostosis of skull,none
malignant neoplasm skin of lip,oral cavity cancer
helminthiasis unspecified,none
disorder of amino-acid metabolism unspecified,none
disease of appendix unspecified,none
chronic lymphocytic leukaemia of b-cell type,none
adenovirus infection unspecified site,none
pulmonary valve atresia,none
covid-19 virus identified,none
malignant neoplasm central nervous system unspecified,none
paralysis of vocal cords and larynx,none
other specified diseases of spinal cord,none
hypertensive heart and renal disease with congestive heart failure,none
car occupant injured in noncollision transport accident unspecified car occupant injured in nontraffic accident,none
acute appendicitis with generalized peritonitis - 2008 classification,none
other pneumothorax,none
occupant of pick-up truck or van injured in noncollision transport accident driver injured in traffic accident,none
unspecified pre-existing hypertension complicating pregnancy childbirth and the puerperium,none
other specified diseases of biliary tract,none
guillain-barre syndrome,none
melioidosis unspecified,none
female genital tract fistula unspecified,none
macrocephaly,none
spondylolysis,none
malignant neoplasm posterior wall of nasopharynx,none
pemphigus foliaceus,none
duodenal ulcer chronic or unspecified with both haemorrhage and perforation,none
meningococcal meningitis,none
carcinoma in situ skin unspecified,none
perinatal intestinal perforation,none
complete uterovaginal prolapse,none
neurosyphilis unspecified,none
rider or occupant injured by fall from or being thrown from animal or animal-drawn vehicle in noncollision accident,none
mumps without complication,none
delirium unspecified,none
aspiration of fluid,none
congenital pneumonia due to other organisms,none
crohn disease unspecified,none
other atypical virus infections of central nervous system,none
nonrheumatic mitral valve stenosis,none
obstruction of bile duct,none
interstitial emphysema originating in the perinatal period,none
sialoadenitis,none
other diseases of vocal cords,none
acute myeloblastic leukaemia [aml],acute myeloid leukemia
duodenal ulcer acute with haemorrhage,none
extreme obesity with alveolar hypoventilation,none
other infective tenosynovitis,none
disorder of thyroid unspecified,none
malignant neoplasm short bones of lower limb,none
bacterial meningitis unspecified,none
motorcycle rider injured in collision with heavy transport vehicle or bus driver injured in traffic accident,none
embolism and thrombosis of other and unspecified parts of aorta,none
occupant of pick-up truck or van injured in noncollision transport accident unspecified occupant of pick-up truck or van injured in nontraffic accident,none
rotaviral enteritis,none
ventral hernia with gangrene until 2013,none
motorcycle rider injured in collision with car pick-up truck or van passenger injured in traffic accident,none
deletion of short arm of chromosome 5,none
car occupant injured in noncollision transport accident passenger injured in traffic accident,none
secondary malignant neoplasm of lung,lung cancer
chronic maxillary sinusitis,none
congenital malformation of lung unspecified,none
malignant neoplasm descended testis,none
non-insulin-dependent diabetes mellitus with peripheral circulatory complications,none
disease of salivary gland unspecified,none
nontraumatic extradural haemorrhage,cerebrovascular disease
vaccine or biological substance unspecified,none
acute bronchitis due to other specified organisms,none
occupant of streetcar injured by fall from streetcar,none
hypoplasia and dysplasia of spinal cord,none
immunodeficiency with predominantly antibody defects unspecified,none
benign neoplasm appendix,none
neoplasm of uncertain or unknown behaviour peripheral nerves and autonomic nervous system,none
malignant neoplasm malignant melanoma of eyelid including canthus,none
disseminated herpesviral disease,none
mucocutaneous lymph node syndrome [kawasaki],none
congenital lactase deficiency,none
benign neoplasm benign neoplasm of unspecified site,none
enteropathy-type intestinal t-cell lymphoma,none
other surgical procedures,none
patent ductus arteriosus,none
chylous effusion,none
other specified diabetes mellitus without complications,none
sequelae of other nontraumatic intracranial haemorrhage,cerebrovascular disease
other specified conditions associated with female genital organs and menstrual cycle,none
sinus fistula and cyst of branchial cleft,none
salmonella infection unspecified,none
agenesis aplasia and hypoplasia of pancreas,none
thyroiditis unspecified,none
other disorders of lung,pulmonary disease
histoplasmosis unspecified,none
car occupant injured in collision with pedestrian or animal driver injured in traffic accident,none
stenosis of aorta,none
other subarachnoid haemorrhage,cerebrovascular disease
unspecified respiratory condition due to chemicals gases fumes and vapours,none
congenital malformation of peripheral vascular system unspecified,none
subarachnoid haemorrhage from intracranial artery unspecified,cerebrovascular disease
bipolar affective disorder current episode hypomanic,none
corpus luteum cyst,none
malignant neoplasm anterior floor of mouth,oral cavity cancer
bilateral inguinal hernia with obstruction without gangrene,none
other specified leukaemias,none
cardiomyopathy in the puerperium,none
other specified congenital malformations of spinal cord,none
other specified diseases of pericardium,none
di george syndrome,none
other specified disorders of kidney and ureter,none
mechanical strabismus,none
carcinoma in situ anus and anal canal,none
neurogenic bowel not elsewhere classified,none
malignant neoplasm malignant melanoma of skin unspecified,none
motorcycle rider injured in collision with two- or three-wheeled motor vehicle driver injured in nontraffic accident,none
other congenital malformations of aorta,none
neoplasm of uncertain or unknown behaviour female genital organ unspecified,none
varicose veins of lower extremities without ulcer or inflammation,none
other specified trisomies and partial trisomies of autosomes,none
rupture of papillary muscle not elsewhere classified,none
urticaria unspecified,none
haemolytic-uraemic syndrome,none
motorcycle rider injured in noncollision transport accident driver injured in nontraffic accident,none
gastroenteritis and colitis due to radiation,none
urinary tract infection site not specified,none
pyridoxine deficiency,none
other specified haemorrhoids from 2014 onwards - previously in i84,none
hiv disease resulting in other types of non-hodgkin lymphoma,none
other congenital malformations of tricuspid valve,none
karyotype 47xxx,none
vitamin b12 deficiency anaemia unspecified,none
calculus of gallbladder with acute cholecystitis,none
other gonococcal infections,none
polyarteritis nodosa,none
yellow fever unspecified,none
pedestrian injured in collision with railway train or railway vehicle unspecified whether traffic or nontraffic accident,none
malignant neoplasm pluriglandular involvement unspecified,none
other specified noninflammatory disorders of uterus,none
postviral fatigue syndrome,none
malignant neoplasm palate unspecified,oral cavity cancer
generalized enlarged lymph nodes,none
pedal cyclist injured in noncollision transport accident passenger injured in traffic accident,none
anal abscess,none
atrioventricular septal defect,none
mental and behavioural disorders due to use of volatile solvents dependence syndrome,none
occupant of railway train or railway vehicle injured in collision with other object,none
other bacterial pneumonia,none
malignant neoplasm retroperitoneum,none
tuberculosis of skin and subcutaneous tissue,none
inflammatory disorders of other specified male genital organs,none
congenital rubella syndrome,none
first degree perineal laceration during delivery,none
pyonephrosis,none
aneurysm and dissection of unspecified site,none
malignant neoplasm caecum,colorectal cancer
malignant neoplasm overlapping lesion of digestive system,none
deletions with other complex rearrangements,none
synovial cyst of popliteal space [baker],none
occupant of pick-up truck or van injured in collision with heavy transport vehicle or bus passenger injured in traffic accident,none
stenosis of pulmonary artery,none
drug-induced adrenocortical insufficiency,none
secondary polycythaemia,none
peritoneal adhesions,none
heredofamilial amyloidosis unspecified,none
osteonecrosis unspecified,none
neonatal candidiasis,none
neoplasm of uncertain or unknown behaviour mediastinum,none
cryptococcosis unspecified,none
malignant neoplasm overlapping lesion of lip oral cavity and pharynx,oral cavity cancer
intussusception,none
malignant neoplasm splenic flexure,colorectal cancer
neoplasm of uncertain or unknown behaviour breast,none
bifascicular block,none
malignant neoplasm main bronchus,lung cancer
benign neoplasm spinal cord,none
unspecified nephritic syndrome unspecified,none
fibroadenosis of breast,none
benign neoplasm skin of scalp and neck,none
ectopic kidney,none
b-cell lymphoma unspecified,none
maternal care for intrauterine death,none
meningismus,none
malignant neoplasm peripheral nerves of head face and neck,none
anal prolapse,none
other sphingolipidosis,none
other myositis,none
myocardial degeneration,none
benign neoplasm other specified sites,none
benign lipomatous neoplasm of intrathoracic organs,none
atrial premature depolarization,none
thyrotoxicosis with diffuse goitre,none
bird fancier lung,none
wegener granulomatosis,none
other acute pancreatitis,none
horner syndrome,none
gastric ulcer chronic or unspecified with perforation,none
thiamine deficiency unspecified,none
malignant neoplasm cloacogenic zone,none
malignant neoplasm ill-defined sites within the respiratory system,none
depressive episode unspecified,none
anaplastic large cell lymphoma alk-negative,none
bronchopneumonia unspecified,pulmonary disease
benign neoplasm peripheral nerves and autonomic nervous system,none
selective deficiency of immunoglobulin a [iga],none
immunosuppressive agents,none
malignant neoplasm urinary organ unspecified,none
driver injured in collision with other and unspecified motor vehicles in traffic accident,none
organic delusional [schizophrenia-like] disorder,none
extranodal marginal zone b-cell lymphoma of mucosa-associated lymphoid tissue [malt-lyphoma],none
pedal cyclist injured in collision with railway train or railway vehicle driver injured in traffic accident,none
paget disease of skull,none
car occupant injured in collision with fixed or stationary object driver injured in traffic accident,none
motorcycle rider injured in collision with heavy transport vehicle or bus passenger injured in nontraffic accident,none
other cytomegaloviral diseases,none
von willebrand disease,none
other idiopathic scoliosis,none
driver injured in collision with other and unspecified motor vehicles in nontraffic accident,none
otitis externa unspecified,none
malignant neoplasm parathyroid gland,none
other hydrocele,none
calculus in bladder,none
chronic respiratory failure,pulmonary disease
bus occupant injured in collision with heavy transport vehicle or bus person injured while boarding or alighting,none
neoplasm of uncertain or unknown behaviour thymus,none
multiple myeloma,none
tetracyclines,none
malignant neoplasm peripheral nerves and autonomic nervous system unspecified,none
acute and subacute infective endocarditis,none
other specified diabetes mellitus with renal complications,none
cervicofacial actinomycosis,none
secondary parkinsonism unspecified,none
other haemoglobinopathies,none
spondyloepiphyseal dysplasia,none
non-insulin-dependent diabetes mellitus with coma,none
ventricular septal defect,none
malignant neoplasm upper respiratory tract part unspecified,none
fistula of bile duct,none
malignant otitis externa,none
other specified acute disseminated demyelination,none
other medical procedures,none
enterocolitis due to clostridium difficile,none
impetigo [any organism] [any site],none
other specified disorders of adrenal gland,none
other acquired deformity of head,none
cerebral infarction due to embolism of precerebral arteries,cerebrovascular disease
chronic salpingitis and oophoritis,none
malignant neoplasm endometrium,none
acute hepatitis b without delta-agent and without hepatic coma,none
toxoplasma meningoencephalitis,none
nonspecific lymphadenitis unspecified,none
myocarditis unspecified,none
occupant of pick-up truck or van injured in collision with pedestrian or animal driver injured in traffic accident,none
lichen simplex chronicus,none
small cell b-cell lymphoma,none
erythema intertrigo,none
renal and perinephric abscess,none
other congenital viral diseases,none
gastro-oesophageal laceration-haemorrhage syndrome,none
mental and behavioural disorders due to use of cannabinoids unspecified mental and behavioural disorder,none
other specified congenital malformations of peripheral vascular system,none
acute pulmonary manifestations due to radiation,none
pulmonary cryptococcosis,none
narcolepsy and cataplexy,none
cholangitis,none
radiculopathy,none
cyst of kidney acquired,none
orthostatic hypotension,none
insulin-dependent diabetes mellitus with coma,none
accident to watercraft causing other injury other powered watercraft,none
occupant of three-wheeled motor vehicle injured in collision with fixed or stationary object person injured while boarding or alighting,none
polymyositis,none
accident on board watercraft without accident to watercraft not causing drowning and submersion merchant ship,none
disorder of pituitary gland unspecified,none
monocytic leukaemia unspecified,none
benign neoplasm vertebral column,none
other female genital prolapse,none
berylliosis,none
polyclonal hypergammaglobulinaemia,none
hydronephrosis with ureteropelvic junction obstruction,none
occupant of three-wheeled motor vehicle injured in noncollision transport accident passenger injured in nontraffic accident,none
pedal cyclist injured in collision with fixed or stationary object driver injured in traffic accident,none
endocrine disorder unspecified,none
cyst of pancreas,none
unspecified occupant of special construction vehicle injured in nontraffic accident,none
neoplasm of uncertain or unknown behaviour central nervous system unspecified,none
soft tissue disorder unspecified,none
inflammatory liver disease unspecified,none
disease of blood and blood-forming organs unspecified,none
acute suppurative otitis media,none
iliac crest spur,none
other congenital malformations of diaphragm,none
other inflammatory polyneuropathies,none
benign neoplasm skin of lower limb including hip,none
arteriovenous malformation of cerebral vessels,none
muscular dystrophy,none
primary cutaneous cd30-positive t-cell proliferations,none
malignant neoplasm tonsillar pillar anteriorposterior,oral cavity cancer
lichen sclerosus et atrophicus,none
malignant neoplasm overlapping lesion of bladder,bladder cancer
hereditary haemolytic anaemia unspecified,none
progressive systemic sclerosis,none
alcoholic fatty liver,none
primary hyperaldosteronism,none
delirium superimposed on dementia,none
nonrheumatic tricuspid valve disorder unspecified,none
mycosis fungoides,none
gastro-oesophageal reflux disease without oesophagitis,none
kinking and stricture of ureter without hydronephrosis,none
panniculitis unspecified,none
cranial nerve disorder unspecified,none
cerebral palsy unspecified,none
neuronal ceroid lipofuscinosis,none
lipomatosis not elsewhere classified,none
hyperglycaemia unspecified,none
neoplasm of uncertain or unknown behaviour small intestine,none
oral mucositis ulcerative,none
autoimmune hepatitis,none
coagulation defect unspecified,none
other and unspecified lesions of oral mucosa,none
pedestrian injured in collision with railway train or railway vehicle traffic accident,none
neoplasm of uncertain or unknown behaviour spinal cord,none
other specified congenital malformations of face and neck,none
other specified diseases of jaws,none
endocrine nutritional and metabolic diseases complicating pregnancy childbirth and the puerperium,none
cerebral venous thrombosis in pregnancy,cerebrovascular disease
