cause_of_death,category_gpt_4o_mini,category_gpt_4o,category_consensus,consensus_no,without_consensus,category_unanimous_consensus,category_human
malignant neoplasm lateral wall of bladder,bladder cancer,bladder cancer,bladder cancer,2,False,bladder cancer,bladder cancer
lymphocyte-rich classical hodgkin lymphoma,none,none,none,2,False,none,none
agenesis of lung,none,none,none,2,False,none,none
tuberculosis of intestines peritoneum and mesenteric glands,none,none,none,2,False,none,none
bursopathy unspecified,none,none,none,2,False,none,none
malignant neoplasm of other and ill-defined sites lower limb,none,none,none,2,False,none,none
pedestrian injured in collision with heavy transport vehicle or bus traffic accident,none,none,none,2,False,none,none
cellulitis of finger and toe,none,none,none,2,False,none,none
congenital malformations of corpus callosum,none,none,none,2,False,none,none
ulceration of vulva,none,none,none,2,False,none,none
intracerebral haemorrhage in brain stem,none,cerebrovascular disease,cerebrovascular disease,1,True,,cerebrovascular disease
renal tubulo-interstitial disease unspecified,none,none,none,2,False,none,none
other specified birth injuries,none,none,none,2,False,none,none
benign neoplasm mediastinum,none,none,none,2,False,none,none
other and unspecified water transport accidents unspecified watercraft,none,none,none,2,False,none,none
chronic gastritis unspecified,none,none,none,2,False,none,none
other obesity,none,none,none,2,False,none,none
miliary tuberculosis unspecified,none,none,none,2,False,none,none
diverticular disease of small intestine without perforation or abscess,none,none,none,2,False,none,none
malignant neoplasm pleura,none,none,none,2,False,none,none
during surgical operation,none,none,none,2,False,none,none
other juvenile arthritis,none,none,none,2,False,none,none
vaping-related disorder,none,none,none,2,False,none,none
calculus of kidney with calculus of ureter,none,none,none,2,False,none,none
malignant neoplasm broad ligament,none,none,none,2,False,none,none
other and unspecified genitourinary tract infection in pregnancy,none,none,none,2,False,none,none
familial dysautonomia [riley-day],none,none,none,2,False,none,none
anankastic personality disorder,none,none,none,2,False,none,none
influenza with pneumonia other influenza virus identified,none,none,none,2,False,none,none
hiv disease resulting in cytomegaloviral disease,none,none,none,2,False,none,none
other cardiovascular disorders originating in the perinatal period,none,none,none,2,False,none,none
atherosclerotic heart disease,ischaemic heart disease,ischaemic heart disease,ischaemic heart disease,2,False,ischaemic heart disease,ischaemic heart disease
streptococcal infection unspecified site,none,none,none,2,False,none,none
subsequent myocardial infarction of unspecified site,ischaemic heart disease,ischaemic heart disease,ischaemic heart disease,2,False,ischaemic heart disease,ischaemic heart disease
disseminated cryptococcosis,none,none,none,2,False,none,none
mental and behavioural disorders due to multiple drug use and use of other psychoactive substances harmful use,none,none,none,2,False,none,none
autonomic dysreflexia,none,none,none,2,False,none,none
hiv disease resulting in other malignant neoplasms of lymphoid haematopoietic and related tissue,none,none,none,2,False,none,none
radiation proctitis,none,none,none,2,False,none,none
chronic atrial fibrillation from 2014 onwards,none,none,none,2,False,none,none
nonpyogenic meningitis,none,none,none,2,False,none,none
malignant neoplasm lower lobe bronchus or lung,lung cancer,lung cancer,lung cancer,2,False,lung cancer,lung cancer
other pemphigus,none,none,none,2,False,none,none
coronavirus infection unspecified site,none,none,none,2,False,none,none
malignant neoplasm ciliary body,none,none,none,2,False,none,none
other myelodysplastic syndromes,none,none,none,2,False,none,none
other conditions related to polyarteritis nodosa,none,none,none,2,False,none,none
other intestinal escherichia coli infections,none,none,none,2,False,none,none
fetus and newborn affected by other and unspecified morphological and functional abnormalities of placenta,none,none,none,2,False,none,none
unspecified nephritic syndrome focal and segmental glomerular lesions,none,none,none,2,False,none,none
pedal cyclist injured in noncollision transport accident unspecified pedal cyclist injured in nontraffic accident,none,none,none,2,False,none,none
hydronephrosis with ureteral stricture not elsewhere classified,none,none,none,2,False,none,none
bullous disorder unspecified,none,none,none,2,False,none,none
suppurative otitis media unspecified,none,none,none,2,False,none,none
periapical abscess without sinus,none,none,none,2,False,none,none
acquired coagulation factor deficiency,none,none,none,2,False,none,none
diverticulum of oesophagus,none,none,none,2,False,none,none
female with more than three x chromosomes,none,none,none,2,False,none,none
gastric ulcer acute with perforation,none,none,none,2,False,none,none
eating disorder unspecified,none,none,none,2,False,none,none
spontaneous abortion complete or unspecified without complication,none,none,none,2,False,none,none
minor partial trisomy,none,none,none,2,False,none,none
disorders of glossopharyngeal nerve,none,none,none,2,False,none,none
accident to other private fixed-wing aircraft injuring occupant,none,none,none,2,False,none,none
gastro-oesophageal reflux disease with oesophagitis,none,none,none,2,False,none,none
pneumonia due to other specified infectious organisms,none,none,none,2,False,none,none
angiotensin-converting-enzyme inhibitors,none,none,none,2,False,none,none
unspecified mental disorder due to brain damage and dysfunction and to physical disease,none,none,none,2,False,none,none
thoracoabdominal aortic aneurysm without mention of rupture,none,none,none,2,False,none,none
herpesviral encephalitis,none,none,none,2,False,none,none
hepatic failure unspecified,none,none,none,2,False,none,none
hypothermia not associated with low environmental temperature,none,none,none,2,False,none,none
chronic kidney disease stage 2,none,none,none,2,False,none,none
acute tonsillitis unspecified,none,none,none,2,False,none,none
echinococcus granulosus infection unspecified,none,none,none,2,False,none,none
disorders of phosphorus metabolism and phosphatases,none,none,none,2,False,none,none
peripheral vascular disease unspecified,none,none,none,2,False,none,none
algoneurodystrophy,none,none,none,2,False,none,none
asthma unspecified,none,pulmonary disease,pulmonary disease,1,True,,pulmonary disease
enteroinvasive escherichia coli infection,none,none,none,2,False,none,none
rupture of bladder nontraumatic,none,none,none,2,False,none,none
war operations involving other explosions and fragments,none,none,none,2,False,none,none
other air transport accidents not elsewhere classified,none,none,none,2,False,none,none
other rupture of muscle nontraumatic,none,none,none,2,False,none,none
rickets active,none,none,none,2,False,none,none
localized salmonella infections,none,none,none,2,False,none,none
burkitt lymphoma,none,none,none,2,False,none,none
disorders of vagus nerve,none,none,none,2,False,none,none
other schistosomiases,none,none,none,2,False,none,none
neoplasm of uncertain or unknown behaviour craniopharyngeal duct,none,none,none,2,False,none,none
malabsorption due to intolerance not elsewhere classified,none,none,none,2,False,none,none
juvenile arthritis unspecified,none,none,none,2,False,none,none
disease of gallbladder unspecified,none,none,none,2,False,none,none
penicillins,none,none,none,2,False,none,none
sarcoidosis of lung,pulmonary disease,none,pulmonary disease,1,True,,none
vascular myelopathies,none,none,none,2,False,none,none
polyarteritis with lung involvement [churg-strauss],none,none,none,2,False,none,none
pain in joint,none,none,none,2,False,none,none
secondary malignant neoplasm of other and unspecified parts of nervous system,none,none,none,2,False,none,none
other specified inflammation of vagina and vulva,none,none,none,2,False,none,none
malignant neoplasm middle third of oesophagus,esophageal cancer,esophageal cancer,esophageal cancer,2,False,esophageal cancer,esophageal cancer
infarction of spleen,none,none,none,2,False,none,none
foodborne clostridium perfringens [clostridium welchii] intoxication,none,none,none,2,False,none,none
malignant neoplasm skin of scalp and neck,none,none,none,2,False,none,none
duodenal ulcer chronic or unspecified with perforation,none,none,none,2,False,none,none
legal intervention involving other specified means,none,none,none,2,False,none,none
other lymphoid leukaemia,acute myeloid leukemia,none,acute myeloid leukemia,1,True,,none
polydactyly unspecified,none,none,none,2,False,none,none
malignant neoplasm peritoneum unspecified,none,none,none,2,False,none,none
acute peritonitis,none,none,none,2,False,none,none
hiv disease resulting in multiple diseases classified elsewhere,none,none,none,2,False,none,none
congenital cyst of mediastinum,none,none,none,2,False,none,none
cholecystitis unspecified,none,none,none,2,False,none,none
other seropositive rheumatoid arthritis,none,none,none,2,False,none,none
secondary malignant neoplasm unspecified site,none,none,none,2,False,none,none
osteomyelitis of vertebra,none,none,none,2,False,none,none
perforation of bile duct,none,none,none,2,False,none,none
chondroectodermal dysplasia,none,none,none,2,False,none,none
other specified respiratory conditions of newborn,none,none,none,2,False,none,none
carcinoma in situ penis,none,none,none,2,False,none,none
benign neoplasm connective and other soft tissue of thorax,none,none,none,2,False,none,none
common variable immunodeficiency unspecified,none,none,none,2,False,none,none
gas gangrene,none,none,none,2,False,none,none
aortic valve disorder unspecified,none,none,none,2,False,none,none
pedestrian injured in collision with car pick-up truck or van traffic accident,none,none,none,2,False,none,none
sequelae of subarachnoid haemorrhage,none,cerebrovascular disease,cerebrovascular disease,1,True,,cerebrovascular disease
spastic hemiplegia,none,none,none,2,False,none,none
fetus and newborn affected by other specified complications of labour and delivery,none,none,none,2,False,none,none
tetralogy of fallot,none,none,none,2,False,none,none
rheumatic diseases of endocardium valve unspecified,none,none,none,2,False,none,none
motorcycle rider injured in collision with fixed or stationary object passenger injured in traffic accident,none,none,none,2,False,none,none
malignant neoplasm vallecula,none,oral cavity cancer,oral cavity cancer,1,True,,none
acute salpingitis and oophoritis,none,none,none,2,False,none,none
other obstetric embolism,none,none,none,2,False,none,none
disorders of plasma-protein metabolism not elsewhere classified,none,none,none,2,False,none,none
sarcoidosis of other and combined sites,none,none,none,2,False,none,none
juvenile dermatomyositis,none,none,none,2,False,none,none
other specified congenital malformations of heart,none,none,none,2,False,none,none
polyp of vocal cord and larynx,larynx cancer,larynx cancer,larynx cancer,2,False,larynx cancer,none
neonatal cerebral leukomalacia,none,none,none,2,False,none,none
malignant neoplasm cortex of adrenal gland,none,none,none,2,False,none,none
syndrome of inappropriate secretion of antidiuretic hormone,none,none,none,2,False,none,none
haemophilus meningitis,none,none,none,2,False,none,none
idiopathic orofacial dystonia,none,none,none,2,False,none,none
pneumonia due to escherichia coli,none,none,none,2,False,none,none
other congenital hydrocephalus,none,none,none,2,False,none,none
abscess of mediastinum,none,none,none,2,False,none,none
malignant neoplasm pancreas unspecified,pancreatic cancer,pancreatic cancer,pancreatic cancer,2,False,pancreatic cancer,pancreatic cancer
malignant neoplasm duodenum,none,none,none,2,False,none,none
other deletions from the autosomes,none,none,none,2,False,none,none
haemoperitoneum,none,none,none,2,False,none,none
other cholelithiasis,none,none,none,2,False,none,none
melkersson syndrome,none,none,none,2,False,none,none
sarcoidosis unspecified,none,none,none,2,False,none,none
congenital adrenogenital disorders associated with enzyme deficiency,none,none,none,2,False,none,none
airway disease due to other specific organic dusts,none,none,none,2,False,none,none
portal vein-hepatic artery fistula,none,none,none,2,False,none,none
acquired deformity of musculoskeletal system unspecified,none,none,none,2,False,none,none
chronic parametritis and pelvic cellulitis,none,none,none,2,False,none,none
atrioventricular block second degree,none,none,none,2,False,none,none
pleurisy,none,none,none,2,False,none,none
other congenital ichthyosis,none,none,none,2,False,none,none
malignant neoplasm angiosarcoma of liver,none,none,none,2,False,none,none
secondary and unspecified malignant neoplasm lymph node unspecified,none,none,none,2,False,none,none
malignant neoplasm corpus uteri unspecified,none,none,none,2,False,none,none
mitral valve disease unspecified,none,none,none,2,False,none,none
hepatic fibrosis,none,none,none,2,False,none,none
occupant [any] of heavy transport vehicle injured in unspecified nontraffic accident,none,none,none,2,False,none,none
chronic kidney disease stage 4,none,none,none,2,False,none,none
eosinophilic cellulitis [wells],none,none,none,2,False,none,none
malignant neoplasm major salivary gland unspecified,none,none,none,2,False,none,oral cavity cancer
staphylococcal infection unspecified site,none,none,none,2,False,none,none
hereditary deficiency of other clotting factors,none,none,none,2,False,none,none
peptic ulcer site unspecified chronic or unspecified with both haemorrhage and perforation,none,none,none,2,False,none,none
respiratory distress syndrome of newborn,none,none,none,2,False,none,none
other congenital malformations of great veins,none,none,none,2,False,none,none
car occupant injured in collision with heavy transport vehicle or bus passenger injured in traffic accident,none,none,none,2,False,none,none
malignant neoplasm unspecified,none,none,none,2,False,none,none
japanese encephalitis,none,none,none,2,False,none,none
viral pneumonia unspecified,none,none,none,2,False,none,none
refractory anaemia with ringed sideroblasts,none,none,none,2,False,none,none
carcinoid syndrome,none,none,none,2,False,none,none
carcinoma in situ unspecified,none,none,none,2,False,none,none
unspecified diabetes mellitus with ketoacidosis,none,none,none,2,False,none,none
prune belly syndrome,none,none,none,2,False,none,none
hereditary nephropathy not elsewhere classified focal and segmental glomerular lesions,none,none,none,2,False,none,none
dermatitis unspecified,none,none,none,2,False,none,none
other streptococcal sepsis,none,none,none,2,False,none,none
mental and behavioural disorders due to use of alcohol withdrawal state with delirium,none,none,none,2,False,none,none
concentric sclerosis [balo],none,none,none,2,False,none,none
antineoplastic antimetabolites,none,none,none,2,False,none,none
disease of pulmonary vessels unspecified,none,pulmonary disease,pulmonary disease,1,True,,none
other specified cerebrovascular diseases,cerebrovascular disease,cerebrovascular disease,cerebrovascular disease,2,False,cerebrovascular disease,cerebrovascular disease
hiv disease resulting in haematological and immunological abnormalities not elsewhere classified,none,none,none,2,False,none,none
water-transport-related drowning and submersion without accident to watercraft unspecified watercraft,none,none,none,2,False,none,none
myelodysplastic syndrome with isolated del5q chromosomal abnormality,none,none,none,2,False,none,none
actinomycosis unspecified,none,none,none,2,False,none,none
other neonatal peritonitis,none,none,none,2,False,none,none
abscess of salivary gland,none,none,none,2,False,none,none
malignant neoplasm spleen,none,none,none,2,False,none,none
other congenital malformations of anterior segment of eye,none,none,none,2,False,none,none
intracerebral haemorrhage unspecified,none,cerebrovascular disease,cerebrovascular disease,1,True,,cerebrovascular disease
persistent fetal circulation,none,none,none,2,False,none,none
opioids and related analgesics,none,none,none,2,False,none,none
during kidney dialysis or other perfusion,none,none,none,2,False,none,none
total anomalous pulmonary venous connection,none,none,none,2,False,none,none
accident on board watercraft without accident to watercraft not causing drowning and submersion passenger ship,none,none,none,2,False,none,none
incomplete uterovaginal prolapse,none,none,none,2,False,none,none
hydrops of gallbladder,none,none,none,2,False,none,none
drug-induced thyroiditis,none,none,none,2,False,none,none
other specified myopathies,none,none,none,2,False,none,none
unstable angina,none,ischaemic heart disease,ischaemic heart disease,1,True,,ischaemic heart disease
mastocytosis,none,none,none,2,False,none,none
obstruction of gallbladder,none,none,none,2,False,none,none
tuberous sclerosis,none,none,none,2,False,none,none
malignant neoplasm peripheral nerves of upper limb including shoulder,none,none,none,2,False,none,none
localized swelling mass and lump neck,none,none,none,2,False,none,none
diabetes mellitus in pregnancy unspecified,none,none,none,2,False,none,none
disorders of magnesium metabolism,none,none,none,2,False,none,none
accident on board watercraft without accident to watercraft not causing drowning and submersion other unpowered watercraft,none,none,none,2,False,none,none
car occupant [any] injured in other specified transport accidents,none,none,none,2,False,none,none
rectal abscess,none,none,none,2,False,none,none
sequelae of assault,none,none,none,2,False,none,none
other and unspecified right bundle-branch block,none,none,none,2,False,none,none
pneumonia due to klebsiella pneumoniae,none,none,none,2,False,none,none
car occupant injured in collision with railway train or railway vehicle passenger injured in traffic accident,none,none,none,2,False,none,none
chronic leukaemia of unspecified cell type,none,none,none,2,False,none,none
other congenital malformations of bladder and urethra,none,none,none,2,False,none,none
trisomy 21 mosaicism mitotic nondisjunction,none,none,none,2,False,none,none
locked-in syndrome from 2016,none,none,none,2,False,none,none
other acute osteomyelitis,none,none,none,2,False,none,none
vascular parkinsonism,none,none,none,2,False,none,none
nontoxic goitre unspecified,none,none,none,2,False,none,none
anaplastic large cell lymphoma alk-positive,none,none,none,2,False,none,none
other specified disorders of nose and nasal sinuses,none,none,none,2,False,none,none
disorders of hypoglossal nerve,none,none,none,2,False,none,none
plasma substitutes,none,none,none,2,False,none,none
spastic hemiplegic cerebral palsy,none,none,none,2,False,none,none
female pelvic inflammatory disease unspecified,none,none,none,2,False,none,none
aneurysm and dissection of other specified arteries,none,none,none,2,False,none,none
crohn disease of large intestine,none,none,none,2,False,none,none
aneurysm and dissection of carotid artery,none,cerebrovascular disease,cerebrovascular disease,1,True,,none
vesicointestinal fistula,none,none,none,2,False,none,none
papovavirus infection unspecified site,none,none,none,2,False,none,none
acute nephritic syndrome minor glomerular abnormality,none,none,none,2,False,none,none
salicylates,none,none,none,2,False,none,none
sequelae of stroke not specified as haemorrhage or infarction,none,cerebrovascular disease,cerebrovascular disease,1,True,,cerebrovascular disease
venous insufficiency chronicperipheral,none,none,none,2,False,none,none
fetal hydantoin syndrome,none,none,none,2,False,none,none
malignant neoplasm ileum,none,none,none,2,False,none,none
malignant neoplasm scapula and long bones of upper limb,none,none,none,2,False,none,none
unilateral or unspecified femoral hernia without obstruction or gangrene,none,none,none,2,False,none,none
malignant neoplasm of other and ill-defined sites other ill-defined sites,none,none,none,2,False,none,none
other nonrheumatic mitral valve disorders,none,none,none,2,False,none,none
anaemia complicating pregnancy childbirth and the puerperium,none,none,none,2,False,none,none
central pontine myelinolysis,none,none,none,2,False,none,none
mild cognitive disorder,none,none,none,2,False,none,none
other specified types of non-hodgkin lymphoma,none,none,none,2,False,none,none
muscle strain,none,none,none,2,False,none,none
malignant neoplasm vestibule of mouth,oral cavity cancer,oral cavity cancer,oral cavity cancer,2,False,oral cavity cancer,oral cavity cancer
tuberculosis of lung without mention of bacteriological or histological confirmation,none,none,none,2,False,none,none
car occupant injured in collision with car pick-up truck or van passenger injured in traffic accident,none,none,none,2,False,none,none
bacterial intestinal infection unspecified,none,none,none,2,False,none,none
felty syndrome,none,none,none,2,False,none,none
other ulcerative colitis,none,none,none,2,False,none,none
chronic hepatic failure,none,none,none,2,False,none,none
unspecified nephritic syndrome diffuse endocapillary proliferative glomerulonephritis,none,none,none,2,False,none,none
pedestrian injured in collision with pedal cycle nontraffic accident,none,none,none,2,False,none,none
carcinoma in situ lip oral cavity and pharynx,oral cavity cancer,oral cavity cancer,oral cavity cancer,2,False,oral cavity cancer,oral cavity cancer
embolism and thrombosis of renal vein,none,none,none,2,False,none,none
disease of oesophagus unspecified,esophageal cancer,none,esophageal cancer,1,True,,none
conduct disorder unspecified,none,none,none,2,False,none,none
other specified disorders of urinary system,none,none,none,2,False,none,none
other chronic viral hepatitis,none,none,none,2,False,none,none
keratitis unspecified,none,none,none,2,False,none,none
benign neoplasm adrenal gland,none,none,none,2,False,none,none
bus occupant injured in collision with fixed or stationary object passenger injured in traffic accident,none,none,none,2,False,none,none
pregnancy-related condition unspecified,none,none,none,2,False,none,none
drug-induced dystonia,none,none,none,2,False,none,none
pericardial effusion noninflammatory,none,none,none,2,False,none,none
malignant neoplasm overlapping lesion of brain and other parts of central nervous system,none,none,none,2,False,none,none
malignant neoplasm jejunum,none,none,none,2,False,none,none
car occupant injured in collision with car pick-up truck or van passenger injured in nontraffic accident,none,none,none,2,False,none,none
aneurysm of heart,none,none,none,2,False,none,ischaemic heart disease
malignant neoplasm lacrimal gland and duct,none,none,none,2,False,none,none
defects of catalase and peroxidase,none,none,none,2,False,none,none
malignant neoplasm breast unspecified,none,none,none,2,False,none,none
acute laryngitis,none,none,none,2,False,none,none
neoplasm of uncertain or unknown behaviour spinal meninges,none,none,none,2,False,none,none
hallervorden-spatz disease,none,none,none,2,False,none,none
perianal venous thrombosis from 2014 onwards - previously in i84,none,none,none,2,False,none,none
pedal cyclist injured in collision with heavy transport vehicle or bus passenger injured in traffic accident,none,none,none,2,False,none,none
other fibroblastic disorders,none,none,none,2,False,none,none
congenital renal failure,none,none,none,2,False,none,none
degenerative disease of basal ganglia unspecified,none,none,none,2,False,none,none
traumatic arthropathy,none,none,none,2,False,none,none
hypertrophy of salivary gland,none,none,none,2,False,none,none
chronic ethmoidal sinusitis,none,none,none,2,False,none,none
osteopetrosis,none,none,none,2,False,none,none
other hereditary and idiopathic neuropathies,none,none,none,2,False,none,none
asperger syndrome,none,none,none,2,False,none,none
bulimia nervosa,none,none,none,2,False,none,none
acute promyelocytic leukaemia [pml],none,none,none,2,False,none,acute myeloid leukemia
other pulmonary aspergillosis,none,pulmonary disease,pulmonary disease,1,True,,none
multifocal and multisystemic disseminated langerhans-cell histiocytosis [letterer-siwe disease],none,none,none,2,False,none,none
other specified immunodeficiencies,none,none,none,2,False,none,none
perforation of intestine nontraumatic,none,none,none,2,False,none,none
other hyperaldosteronism,none,none,none,2,False,none,none
other chondrocalcinosis,none,none,none,2,False,none,none
intracranial space-occupying lesion,none,none,none,2,False,none,none
haemorrhoids unspecified from 2014 onwards - previously in i84,none,none,none,2,False,none,none
other specified disorders of carbohydrate metabolism,none,none,none,2,False,none,none
aortic aneurysm of unspecified site ruptured,none,none,none,2,False,none,none
neoplasm of uncertain or unknown behaviour adrenal gland,none,none,none,2,False,none,none
myasthenia gravis,none,none,none,2,False,none,none
neoplasm of uncertain or unknown behaviour testis,none,none,none,2,False,none,none
malignant neoplasm larynx unspecified,larynx cancer,larynx cancer,larynx cancer,2,False,larynx cancer,larynx cancer
motorcycle rider injured in noncollision transport accident person injured while boarding or alighting,none,none,none,2,False,none,none
abscess of spleen,none,none,none,2,False,none,none
other specified sepsis,none,none,none,2,False,none,none
mixed hyperlipidaemia,none,none,none,2,False,none,none
calculus of bile duct with cholecystitis,none,none,none,2,False,none,none
diseases of the digestive system complicating pregnancy childbirth and the puerperium,none,none,none,2,False,none,none
panlobular emphysema,pulmonary disease,pulmonary disease,pulmonary disease,2,False,pulmonary disease,pulmonary disease
acute periodontitis,none,none,none,2,False,none,none
car occupant injured in collision with car pick-up truck or van unspecified car occupant injured in traffic accident,none,none,none,2,False,none,none
other symptoms and signs involving appearance and behaviour,none,none,none,2,False,none,none
atrioventricular block complete,none,none,none,2,False,none,none
syphilis unspecified,none,none,none,2,False,none,none
anencephaly,none,none,none,2,False,none,none
other specified pulmonary heart diseases,pulmonary disease,pulmonary disease,pulmonary disease,2,False,pulmonary disease,none
occupant of three-wheeled motor vehicle injured in collision with heavy transport vehicle or bus person injured while boarding or alighting,none,none,none,2,False,none,none
follicular lymphoma grade i,none,none,none,2,False,none,none
pedal cyclist injured in collision with car pick-up truck or van passenger injured in traffic accident,none,none,none,2,False,none,none
malignant neoplasm ribs sternum and clavicle,none,none,none,2,False,none,none
obstruction of duodenum,none,none,none,2,False,none,none
hyperostosis of skull,none,none,none,2,False,none,none
malignant neoplasm skin of lip,none,none,none,2,False,none,oral cavity cancer
helminthiasis unspecified,none,none,none,2,False,none,none
disorder of amino-acid metabolism unspecified,none,none,none,2,False,none,none
disease of appendix unspecified,none,none,none,2,False,none,none
chronic lymphocytic leukaemia of b-cell type,none,none,none,2,False,none,none
adenovirus infection unspecified site,none,none,none,2,False,none,none
pulmonary valve atresia,none,none,none,2,False,none,none
covid-19 virus identified,none,none,none,2,False,none,none
malignant neoplasm central nervous system unspecified,none,none,none,2,False,none,none
paralysis of vocal cords and larynx,none,none,none,2,False,none,none
other specified diseases of spinal cord,none,none,none,2,False,none,none
